Sentence,Error Type,Corrected Sentence
பார்வதி பந்து சாப்பிடுகிறாள்.,Verb Tense,பார்வதி பந்து செல்வேன்.
அவள் பள்ளிக்கு படிக்கிறான்.,No Error,அவள் பள்ளிக்கு படிக்கிறான்.
பார்வதி பந்து விளையாடுகிறோம்.,No Error,பார்வதி பந்து விளையாடுகிறோம்.
நாம் புத்தகத்தை படிக்கிறான்.,No Error,நாம் புத்தகத்தை படிக்கிறான்.
அவள் பழத்தை சாப்பிடுகிறான்.,No Error,அவள் பழத்தை சாப்பிடுகிறான்.
நாம் பாடத்தை படிக்கிறாள்.,No Error,நாம் பாடத்தை படிக்கிறாள்.
அவன் பந்து சாப்பிடுகிறான்.,No Error,அவன் பந்து சாப்பிடுகிறான்.
பார்வதி பாடத்தை சாப்பிடுவாள்.,Habitual Case,பார்வதி பாடத்தை படிக்கிறான்.
பார்வதி பந்து சாப்பிடுகிறாள்.,Habitual Case,பார்வதி பந்து விளையாடுகிறோம்.
நாம் பந்து விளையாடுகிறான்.,Habitual Case,நாம் பந்து சாப்பிடுகிறான்.
அவள் பள்ளிக்கு விளையாடுகிறான்.,Subject-Verb Agreement,அவள் பள்ளிக்கு சாப்பிடுகிறான்.
நாம் புத்தகத்தை சாப்பிடுவாள்.,Spelling Error,நாம் புத்தகத்தை படிக்கிறான்.
நான் பழத்தை விளையாடுகிறோம்.,No Error,நான் பழத்தை விளையாடுகிறோம்.
அவள் புத்தகத்தை படிக்கிறான்.,No Error,அவள் புத்தகத்தை படிக்கிறான்.
நான் பாடத்தை செல்வேன்.,No Error,நான் பாடத்தை செல்வேன்.
நாம் பாடத்தை சாப்பிடுகிறாள்.,Subject-Verb Agreement,நாம் பாடத்தை சாப்பிடுகிறான்.
